Done,Name,Alternative name,Category,Variation,Encoding Shapes,Layout,comparison,composition,distribution,relationship,,Dimensions,Numeric,Ordinal,Color numeric scale,Graph links,Hierarchy,Range
FALSE,Pyramid,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Area,Layered Area Chart,chart,layered,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Scatter,,plot,3D,,,TRUE,FALSE,FALSE,FALSE,,3,3,,FALSE,FALSE,FALSE,FALSE
FALSE,Pedigree Fan Chart,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Fan Graph,Fan Chart (time series),graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bubble timeline,Compound proportional area chart timeline,chart,,,sequence,TRUE,FALSE,FALSE,TRUE,,1,1,,FALSE,FALSE,FALSE,FALSE
FALSE,Radial convergences,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Spiral Histogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Dendrogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Lollipop Chart,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Nomogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Control Chart,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Profile Map,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Dot Chart,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Counts Plot,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Jitter Plot,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Strip Plot,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
